"";"noise_weight";"ncomp";"RMSE";"R2";"Q2";"R2-Q2"
"1";0,25;3;0,704889893648573;0,955964428601408;0,965450664146609;-0,00948623554520056
"2";0,5;3;1,38614789818282;0,878991206721227;0,851953859166369;0,027037347554858
"3";0,75;3;2,51936466421834;0,680846896587125;0,604982686774101;0,0758642098130243
"4";1;2;3,00194217091158;0,514345610204;0,553312122839322;-0,0389665126353214
"5";1,25;2;4,00212878388625;0,314525827668591;0,229301510277472;0,0852243173911189
"6";1,5;2;4,12266365268647;0,349846825204192;0,328459385918814;0,0213874392853785
"7";1,75;2;5,15659288496943;0,18956611378992;0,0243760006085071;0,165190113181413
"8";2;2;5,52665971994238;0,228275857099278;0,0917495196722256;0,136526337427053
"9";2,25;0;5,77813932955095;0;-0,0171462248426713;0,0171462248426713
"10";2,5;0;6,72442175050683;0;-0,0137280413535315;0,0137280413535315
"11";2,75;1;7,18957345056255;0,107090929785224;-0,0329885494012465;0,140079479186471
"12";3;0;7,60363169016663;0;-0,025761556327754;0,025761556327754
"13";3,25;0;7,83212123223157;0;-0,01290916510491;0,01290916510491
"14";3,5;0;8,5084418262063;0;-0,0094813800571798;0,0094813800571798
"15";3,75;0;9,37976856543161;0;-0,00499651813005508;0,00499651813005508
"16";4;0;9,71056682906453;0;-0,00948945316581629;0,00948945316581629
"17";4,25;0;10,088215174338;0;-0,00916933810352449;0,00916933810352449
"18";4,5;0;10,7364735611902;0;-0,0242574337312675;0,0242574337312675
"19";4,75;0;11,0597802940562;0;-0,0125737250967046;0,0125737250967046
"20";5;0;11,8568628798919;0;-0,00552161378028404;0,00552161378028404
"21";5,5;0;13,1163314209203;0;-0,0132262586453682;0,0132262586453682
"22";6;0;13,6519408687123;0;-0,00880802207866149;0,00880802207866149
"23";6,5;0;15,1273439771489;0;-0,0104078445013898;0,0104078445013898
"24";7;0;16,2957624769156;0;-0,00710891087591059;0,00710891087591059
"25";7,5;0;17,2869349251144;0;-0,00711136083552111;0,00711136083552111
"26";8;0;17,9363475740952;0;-0,014151742648201;0,014151742648201
"27";8,5;0;19,3733698204845;0;-0,00961005508153967;0,00961005508153967
"28";9;0;19,7878310657696;0;-0,00350370811473244;0,00350370811473244
"29";9,5;0;21,8569888075122;0;-0,0123281325016715;0,0123281325016715
"30";10;0;22,6013182407384;0;-0,00786090004290174;0,00786090004290174
